# Benchmark, no morphing
# tst cst
# tst acc
# trn cst
# trn acc
8.180814224676342672e-01,7.410629535231716414e-01,6.977448535668326901e-01,6.839830757089456759e-01,6.504994303622720908e-01,6.381373332407633825e-01,6.402432139317983939e-01,6.621578148326621172e-01,6.309878263810254628e-01,6.389059874861938715e-01,6.271574858971888933e-01,6.107651174432029428e-01,6.171583576994494891e-01,6.197431550825576174e-01,6.281873569303983995e-01,6.307537400788045812e-01,6.304723834740094679e-01,6.198547279722954606e-01,6.169815269508894806e-01,6.230191631333097391e-01,6.150368978962474920e-01,6.320647457338297581e-01,6.215315259924035773e-01,6.261200305941434507e-01,6.259915130824880158e-01,6.259550490791445654e-01,6.233992002896119322e-01,6.306060530082007176e-01,6.227928451569817447e-01,6.211417161280796684e-01
9.321000000000000396e-01,9.447999999999999732e-01,9.517999999999999794e-01,9.546000000000000041e-01,9.596000000000000085e-01,9.602000000000000535e-01,9.623000000000000442e-01,9.596999999999999975e-01,9.641999999999999460e-01,9.635000000000000231e-01,9.677999999999999936e-01,9.685000000000000275e-01,9.677999999999999936e-01,9.693000000000000504e-01,9.675000000000000266e-01,9.678999999999999826e-01,9.676000000000000156e-01,9.689999999999999725e-01,9.696000000000000174e-01,9.695000000000000284e-01,9.693000000000000504e-01,9.683000000000000496e-01,9.687000000000000055e-01,9.690999999999999615e-01,9.687999999999999945e-01,9.695000000000000284e-01,9.690999999999999615e-01,9.687999999999999945e-01,9.699999999999999734e-01,9.694000000000000394e-01
5.202381266262381398e-01,4.171697502543029734e-01,3.550083255267755811e-01,3.256954335748404317e-01,2.760610612137009978e-01,2.455584924724309448e-01,2.295406196025687184e-01,2.424907547615438586e-01,1.985276786006597849e-01,2.076513099741146839e-01,1.828341508255756920e-01,1.589940048652877247e-01,1.577764281248109079e-01,1.483730947938494138e-01,1.513695793616975926e-01,1.436272000844855401e-01,1.376443719363325824e-01,1.281451166352211013e-01,1.228328708268945357e-01,1.142605826590973733e-01,1.071168844151786093e-01,1.071102817217535197e-01,1.016591683382018080e-01,9.908009788908209159e-02,9.876233214121073190e-02,9.699213837409390027e-02,9.071465200197700862e-02,9.159179967012859302e-02,8.595079321315171605e-02,8.459223912867225303e-02
9.355400000000000382e-01,9.511399999999999855e-01,9.625000000000000222e-01,9.662199999999999678e-01,9.739600000000000479e-01,9.786799999999999944e-01,9.806000000000000272e-01,9.786200000000000454e-01,9.850400000000000267e-01,9.836399999999999588e-01,9.886200000000000543e-01,9.911999999999999700e-01,9.907200000000000450e-01,9.930400000000000338e-01,9.924199999999999688e-01,9.934600000000000097e-01,9.939799999999999747e-01,9.950999999999999845e-01,9.957000000000000295e-01,9.967599999999999794e-01,9.974800000000000333e-01,9.974800000000000333e-01,9.980200000000000182e-01,9.981400000000000272e-01,9.983600000000000252e-01,9.984399999999999942e-01,9.986800000000000122e-01,9.987800000000000011e-01,9.991200000000000081e-01,9.990200000000000191e-01

# With Image Morphing
# tst cst
# tst acc
# trn cst
# trn acc
2.078675131491783290e+00,2.063542888815659726e+00,2.055680048353729195e+00,1.951164341498636157e+00,1.983012604013624891e+00,1.896086967161523695e+00,1.801808310733361562e+00,1.789185559016337468e+00,1.853902039468901863e+00,1.696932158488868803e+00,1.794909400164958146e+00,1.739975303478428437e+00,1.685829899865593617e+00,1.621464912697922589e+00,1.618999257007042392e+00,1.604205526612970445e+00,1.574136838059456034e+00,1.606983368640158893e+00,1.508564894567400838e+00,1.535155776087571589e+00,1.509145966300104336e+00,1.560230841304464100e+00,1.502920497535967570e+00,1.501691858855887851e+00,1.530942564961284447e+00,1.436337492628467993e+00,1.420763621914209462e+00,1.372758066060840942e+00,1.379705377423515955e+00,1.426664325712720505e+00
8.757000000000000339e-01,8.962999999999999856e-01,8.991000000000000103e-01,9.073999999999999844e-01,9.176999999999999602e-01,9.254000000000000004e-01,9.314000000000000057e-01,9.326999999999999735e-01,9.254000000000000004e-01,9.444000000000000172e-01,9.261000000000000343e-01,9.370000000000000551e-01,9.387999999999999678e-01,9.446999999999999842e-01,9.404000000000000137e-01,9.431000000000000494e-01,9.445999999999999952e-01,9.342000000000000304e-01,9.485999999999999988e-01,9.409999999999999476e-01,9.437999999999999723e-01,9.384000000000000119e-01,9.434000000000000163e-01,9.455000000000000071e-01,9.433000000000000274e-01,9.496999999999999886e-01,9.436999999999999833e-01,9.506999999999999895e-01,9.443000000000000282e-01,9.433000000000000274e-01
1.337577114330138706e+00,1.168028439789046802e+00,1.090675601942587170e+00,9.733265346817456809e-01,9.382825379937805854e-01,8.718086836398590833e-01,7.551972448723407449e-01,7.538697627844721527e-01,8.137770856820589760e-01,6.544690641987627178e-01,7.357929977448677272e-01,7.098743652806908111e-01,6.773060300313182847e-01,6.185686081076042786e-01,6.163708562945545699e-01,6.219863383805996904e-01,5.829298813711372151e-01,6.337292498499105253e-01,5.653371865288384646e-01,5.888966847600760612e-01,5.638636427740175705e-01,6.157383853192233136e-01,5.652399821568629967e-01,5.795676701155375588e-01,6.053985679514142237e-01,5.395008695088497896e-01,5.278366372420475461e-01,5.044004071192157435e-01,5.381501403791754123e-01,5.720914538323355059e-01
